date,yield
2000-01-04,5.523
2000-01-05,5.6032
2000-01-06,5.6067
2000-01-07,5.5571
2000-01-10,5.4888
2000-01-11,5.5689
2000-01-12,5.626
2000-01-13,5.5398
2000-01-14,5.5848
2000-01-17,5.6371
2000-01-18,5.7299
2000-01-19,5.6722
2000-01-20,5.7147
2000-01-21,5.6898
2000-01-24,5.6721
2000-01-25,5.5971
2000-01-26,5.6008
2000-01-27,5.6963
2000-01-28,5.7196
2000-01-31,5.6139
2000-02-01,5.4752
2000-02-02,5.4923
2000-02-03,5.4306
2000-02-04,5.5146
2000-02-07,5.5261
2000-02-08,5.4884
2000-02-09,5.5216
2000-02-10,5.5629
2000-02-11,5.5327
2000-02-14,5.4738
2000-02-15,5.4815
2000-02-16,5.5745
2000-02-17,5.5396
2000-02-18,5.4841
2000-02-21,5.4033
2000-02-22,5.3137
2000-02-23,5.3366
2000-02-24,5.2381
2000-02-25,5.2272
2000-02-28,5.2436
2000-02-29,5.335
2000-03-01,5.3067
2000-03-02,5.3319
2000-03-03,5.2528
2000-03-06,5.1982
2000-03-07,5.1691
2000-03-08,5.1882
2000-03-09,5.1543
2000-03-10,5.2031
2000-03-13,5.1931
2000-03-14,5.2174
2000-03-15,5.1886
2000-03-16,5.0786
2000-03-17,5.0316
2000-03-20,5.0732
2000-03-21,5.0998
2000-03-22,5.1891
2000-03-23,5.1335
2000-03-24,5.1498
2000-03-27,5.2632
2000-03-28,5.2228
2000-03-29,5.2244
2000-03-30,5.1587
2000-03-31,5.1478
2000-04-03,5.1031
2000-04-04,5.1336
2000-04-05,5.0488
2000-04-06,5.1294
2000-04-07,5.0683
2000-04-10,5.1032
2000-04-11,5.08
2000-04-12,5.1068
2000-04-13,5.1603
2000-04-14,5.1723
2000-04-17,5.1954
2000-04-18,5.1769
2000-04-19,5.1842
2000-04-20,5.1922
2000-04-25,5.2355
2000-04-26,5.1932
2000-04-27,5.1556
2000-04-28,5.0977
2000-05-02,5.125
2000-05-03,5.1391
2000-05-04,5.2476
2000-05-05,5.2838
2000-05-08,5.2348
2000-05-09,5.1861
2000-05-10,5.1819
2000-05-11,5.2871
2000-05-12,5.2832
2000-05-15,5.2218
2000-05-16,5.1896
2000-05-17,5.3054
2000-05-18,5.3722
2000-05-19,5.3873
2000-05-22,5.3071
2000-05-23,5.3278
2000-05-24,5.2851
2000-05-25,5.1967
2000-05-26,5.1062
2000-05-30,5.1237
2000-05-31,5.0513
2000-06-01,5.0154
2000-06-02,4.9353
2000-06-05,4.9686
2000-06-06,5.0035
2000-06-07,5.0053
2000-06-08,5.0483
2000-06-09,5.0036
2000-06-12,4.9945
2000-06-13,4.9919
2000-06-14,5.0315
2000-06-15,5.0757
2000-06-16,4.9774
2000-06-19,5.0008
2000-06-20,5.0481
2000-06-21,5.1515
2000-06-22,5.1284
2000-06-23,5.1691
2000-06-26,5.1297
2000-06-27,5.135
2000-06-28,5.1186
2000-06-29,5.0684
2000-06-30,5.0731
2000-07-03,5.1137
2000-07-04,5.0807
2000-07-05,5.0409
2000-07-06,5.1053
2000-07-07,5.0405
2000-07-10,5.0966
2000-07-11,5.067
2000-07-12,5.0675
2000-07-13,5.0787
2000-07-14,5.1595
2000-07-17,5.1713
2000-07-18,5.1497
2000-07-19,5.1094
2000-07-20,5.0822
2000-07-21,5.036
2000-07-24,5.0482
2000-07-25,5.0407
2000-07-26,5.0327
2000-07-27,5.0529
2000-07-28,5.1363
2000-07-31,5.1357
2000-08-01,5.1147
2000-08-02,5.1408
2000-08-03,5.1345
2000-08-04,5.1696
2000-08-07,5.148
2000-08-08,5.1328
2000-08-09,5.1397
2000-08-10,5.1509
2000-08-11,5.1034
2000-08-14,5.1581
2000-08-15,5.1987
2000-08-16,5.1959
2000-08-17,5.2118
2000-08-18,5.1984
2000-08-21,5.2431
2000-08-22,5.236
2000-08-23,5.2083
2000-08-24,5.1678
2000-08-25,5.1826
2000-08-29,5.2382
2000-08-30,5.2456
2000-08-31,5.2491
2000-09-01,5.1574
2000-09-04,5.1567
2000-09-05,5.1917
2000-09-06,5.2024
2000-09-07,5.1902
2000-09-08,5.2488
2000-09-11,5.2561
2000-09-12,5.3253
2000-09-13,5.3347
2000-09-14,5.2725
2000-09-15,5.3128
2000-09-18,5.3136
2000-09-19,5.2825
2000-09-20,5.2875
2000-09-21,5.261
2000-09-22,5.2177
2000-09-25,5.2742
2000-09-26,5.2677
2000-09-27,5.2549
2000-09-28,5.2366
2000-09-29,5.1367
2000-10-02,5.1379
2000-10-03,5.1473
2000-10-04,5.1596
2000-10-05,5.1567
2000-10-06,5.1401
2000-10-09,5.0588
2000-10-10,5.0629
2000-10-11,5.0405
2000-10-12,5.0237
2000-10-13,5.0471
2000-10-16,5.0466
2000-10-17,5.0582
2000-10-18,5.0463
2000-10-19,5.0704
2000-10-20,5.0687
2000-10-23,5.0836
2000-10-24,5.0885
2000-10-25,5.0884
2000-10-26,5.086
2000-10-27,5.1261
2000-10-30,5.1079
2000-10-31,5.0874
2000-11-01,5.0874
2000-11-02,5.0822
2000-11-03,5.0655
2000-11-06,5.0649
2000-11-07,5.0914
2000-11-08,5.093
2000-11-09,5.0699
2000-11-10,5.0477
2000-11-13,5.0185
2000-11-14,5.0431
2000-11-15,5.0356
2000-11-16,4.9932
2000-11-17,5.0149
2000-11-20,5.0178
2000-11-21,4.9889
2000-11-22,4.8921
2000-11-23,4.844
2000-11-24,4.8443
2000-11-27,4.7969
2000-11-28,4.7847
2000-11-29,4.8187
2000-11-30,4.7891
2000-12-01,4.7777
2000-12-04,4.7547
2000-12-05,4.7699
2000-12-06,4.768
2000-12-07,4.7825
2000-12-08,4.8285
2000-12-11,4.8254
2000-12-12,4.8433
2000-12-13,4.7864
2000-12-14,4.8129
2000-12-15,4.7743
2000-12-18,4.7742
2000-12-19,4.8157
2000-12-20,4.8137
2000-12-21,4.8459
2000-12-22,4.8324
2000-12-27,4.8002
2000-12-28,4.8024
2000-12-29,4.7809
2001-01-02,4.6947
2001-01-03,4.6039
2001-01-04,4.668
2001-01-05,4.6761
2001-01-08,4.6879
2001-01-09,4.7409
2001-01-10,4.7261
2001-01-11,4.7271
2001-01-12,4.794
2001-01-15,4.7698
2001-01-16,4.8068
2001-01-17,4.8057
2001-01-18,4.7924
2001-01-19,4.7879
2001-01-22,4.8306
2001-01-23,4.819
2001-01-24,4.7923
2001-01-25,4.7744
2001-01-26,4.7119
2001-01-29,4.7222
2001-01-30,4.7275
2001-01-31,4.6718
2001-02-01,4.6786
2001-02-02,4.6831
2001-02-05,4.6819
2001-02-06,4.6766
2001-02-07,4.6394
2001-02-08,4.6971
2001-02-09,4.6701
2001-02-12,4.6814
2001-02-13,4.6854
2001-02-14,4.7394
2001-02-15,4.7602
2001-02-16,4.7574
2001-02-19,4.7515
2001-02-20,4.759
2001-02-21,4.7802
2001-02-22,4.8095
2001-02-23,4.7943
2001-02-26,4.7948
2001-02-27,4.7321
2001-02-28,4.7079
2001-03-01,4.652
2001-03-02,4.6527
2001-03-05,4.6737
2001-03-06,4.6727
2001-03-07,4.6895
2001-03-08,4.6804
2001-03-09,4.6882
2001-03-12,4.6825
2001-03-13,4.6848
2001-03-14,4.6027
2001-03-15,4.5548
2001-03-16,4.4963
2001-03-19,4.4952
2001-03-20,4.5267
2001-03-21,4.5374
2001-03-22,4.4854
2001-03-23,4.5291
2001-03-26,4.5694
2001-03-27,4.6188
2001-03-28,4.6253
2001-03-29,4.6927
2001-03-30,4.7218
2001-04-02,4.7339
2001-04-03,4.7133
2001-04-04,4.758
2001-04-05,4.7603
2001-04-06,4.704
2001-04-09,4.7069
2001-04-10,4.7355
2001-04-11,4.8194
2001-04-12,4.8755
2001-04-17,4.9097
2001-04-18,4.9877
2001-04-19,5.0266
2001-04-20,5.004
2001-04-23,4.964
2001-04-24,4.9609
2001-04-25,4.991
2001-04-26,4.9482
2001-04-27,5.0028
2001-04-30,5.065
2001-05-01,5.0362
2001-05-02,5.0041
2001-05-03,4.9826
2001-05-04,4.9391
2001-05-08,4.9361
2001-05-09,4.9053
2001-05-10,4.9299
2001-05-11,4.979
2001-05-14,5.0399
2001-05-15,5.04
2001-05-16,4.9996
2001-05-17,5.0069
2001-05-18,5.0417
2001-05-21,5.0473
2001-05-22,5.0586
2001-05-23,5.1154
2001-05-24,5.1285
2001-05-25,5.1674
2001-05-29,5.146
2001-05-30,5.148
