date,East Midlands,East of England,England,London,North East,North West,Northern Ireland,Scotland,South East,South West,Wales,West Midlands,Yorkshire and The Humber
1968-04-01,2914.0,,3218.0,4730.0,,,3465.0,2738.0,,3347.0,2732.0,,2553.0
1968-05-01,2914.0,,3218.0,4730.0,,,3465.0,2738.0,,3347.0,2732.0,,2553.0
1968-06-01,2914.0,,3218.0,4730.0,,,3465.0,2738.0,,3347.0,2732.0,,2553.0
1968-07-01,3057.0,,3327.0,4865.0,,,3326.0,3001.0,,3429.0,2864.0,,2581.0
1968-08-01,3057.0,,3327.0,4865.0,,,3326.0,3001.0,,3429.0,2864.0,,2581.0
1968-09-01,3057.0,,3327.0,4865.0,,,3326.0,3001.0,,3429.0,2864.0,,2581.0
1968-10-01,2961.0,,3309.0,4757.0,,,3704.0,2811.0,,3512.0,2878.0,,2581.0
1968-11-01,2961.0,,3309.0,4757.0,,,3704.0,2811.0,,3512.0,2878.0,,2581.0
1968-12-01,2961.0,,3309.0,4757.0,,,3704.0,2811.0,,3512.0,2878.0,,2581.0
1969-01-01,2995.0,,3364.0,4919.0,,,3485.0,3031.0,,3553.0,2878.0,,2624.0
1969-02-01,2995.0,,3364.0,4919.0,,,3485.0,3031.0,,3553.0,2878.0,,2624.0
1969-03-01,2995.0,,3364.0,4919.0,,,3485.0,3031.0,,3553.0,2878.0,,2624.0
1969-04-01,2995.0,,3419.0,4811.0,,,3684.0,3060.0,,3655.0,2805.0,,2695.0
1969-05-01,2995.0,,3419.0,4811.0,,,3684.0,3060.0,,3655.0,2805.0,,2695.0
1969-06-01,2995.0,,3419.0,4811.0,,,3684.0,3060.0,,3655.0,2805.0,,2695.0
1969-07-01,3043.0,,3474.0,4973.0,,,3425.0,3031.0,,3635.0,2893.0,,2781.0
1969-08-01,3043.0,,3474.0,4973.0,,,3425.0,3031.0,,3635.0,2893.0,,2781.0
1969-09-01,3043.0,,3474.0,4973.0,,,3425.0,3031.0,,3635.0,2893.0,,2781.0
1969-10-01,3059.0,,3492.0,4946.0,,,3505.0,3001.0,,3655.0,3127.0,,2695.0
1969-11-01,3059.0,,3492.0,4946.0,,,3505.0,3001.0,,3655.0,3127.0,,2695.0
1969-12-01,3059.0,,3492.0,4946.0,,,3505.0,3001.0,,3655.0,3127.0,,2695.0
1970-01-01,3043.0,,3510.0,5298.0,,,3784.0,3104.0,,3614.0,3010.0,,2738.0
1970-02-01,3043.0,,3510.0,5298.0,,,3784.0,3104.0,,3614.0,3010.0,,2738.0
1970-03-01,3043.0,,3510.0,5298.0,,,3784.0,3104.0,,3614.0,3010.0,,2738.0
1970-04-01,3011.0,,3565.0,5190.0,,,3744.0,3294.0,,3779.0,3127.0,,2795.0
1970-05-01,3011.0,,3565.0,5190.0,,,3744.0,3294.0,,3779.0,3127.0,,2795.0
1970-06-01,3011.0,,3565.0,5190.0,,,3744.0,3294.0,,3779.0,3127.0,,2795.0
1970-07-01,3249.0,,3730.0,5568.0,,,3883.0,3236.0,,3922.0,3273.0,,2909.0
1970-08-01,3249.0,,3730.0,5568.0,,,3883.0,3236.0,,3922.0,3273.0,,2909.0
1970-09-01,3249.0,,3730.0,5568.0,,,3883.0,3236.0,,3922.0,3273.0,,2909.0
1970-10-01,3312.0,,3730.0,5622.0,,,3764.0,3353.0,,4004.0,3214.0,,2824.0
1970-11-01,3312.0,,3730.0,5622.0,,,3764.0,3353.0,,4004.0,3214.0,,2824.0
